YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
2016,10,Utah Jazz,W,40,42,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09,24.2,46,36,0.05,1.84,105.9,103.9,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,"791,489","19,305"
2015,26,Orlando Magic,E,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23,24.3,25,57,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21,Amway Center,"688,194","16,785"
2012,25,Sacramento Kings,W,22,44,0.333,-5.68,104.46,110.43,-5.98,-4.95,104.59,109.76,-5.17,24.3,21,45,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.51,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,"478,764","14,508"
2004,25,Los Angeles Clippers,W,28,54,0.341,-4.59,104.3,109.4,-5.1,-3.74,104.63,108.81,-4.18,24.3,28,54,0.84,-3.74,103.5,108.5,91,0.35,0.156,0.512,0.453,15,32.8,0.275,0.494,12.9,70,0.231,STAPLES Center,"665,396","16,143"
2001,21,Los Angeles Clippers,W,31,51,0.378,-2.89,102.25,105.42,-3.17,-2.23,102.41,104.86,-2.45,24.3,32,50,0.66,-2.23,101.3,104.5,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,0.466,12,71.1,0.217,STAPLES Center,"601,587","14,673"
2014,21,New Orleans Pelicans,W,34,48,0.415,-2.71,107.98,110.9,-2.92,-1.98,108.18,110.35,-2.16,24.3,33,49,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,"672,029","16,391"
2016,13,Portland Trail Blazers,W,44,38,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03,24.3,43,39,0.15,0.98,108.8,108,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,Moda Center,"794,085","19,368"
2015,28,Minnesota Timberwolves,W,16,66,0.195,-8.79,103.63,112.98,-9.36,-8,103.98,112.5,-8.52,24.4,19,63,0.79,-8,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,"595,652","14,416"
2013,30,Charlotte Bobcats,E,21,61,0.256,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23,24.4,17,65,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,"628,293","15,324"
2004,27,Washington Wizards,E,25,57,0.305,-5.63,99.46,105.62,-6.15,-6.12,99.35,106.04,-6.69,24.4,25,57,-0.48,-6.12,98.8,104.8,92.2,0.337,0.194,0.5,0.454,16,30.7,0.241,0.486,14.9,69.5,0.214,MCI Center,"645,363","15,741"
